Artikelnummer,Bezeichnung,Online_Status,EAN,Kred_Artikelnummer,Warengruppe,Spalte7,Spalte8,Spalte9,Hauptkategorie,PG_Beschreibung,Marke,Modellnummer,Farbe,Saison,Herstellergröße,Zielgruppe,Rahmentyp,Radgröße,Akkukapazität,Absatz_Variabel,Absatz_30T,Absatz_7T,Bestand_verfügbar,Reichweite_JAHRE,Reichweite_MONATE,In_Auftrag,Offen,Nächster_Bestellzugang,Nächste_EK_Menge,Nächster_EK_Preis,Letzter_Einkaufspreis_Datum,Letzter_Einkaufspreis_Wert,Avg_EK,Umsatz_Var,DB_Var,Netto_Umsatz_7_Tage,Netto_Umsatz_30_Tage,DB_Pct_Var,Lagerwert,Retourquote,Erster_Zugang,Preis_Online,UVP,Rabattsatz,Kalkulation,BEMERKUNG,MINPRICE,MAXPRICE,Zyklus,Nachorder?
X0000012,VIERUNDZWANZIG,JA,4061929030215,212100000036,F006,Filippo,K2058,Framework Mobility GmbH,Bike,MTB,VILU,M000103237,pink/white,24,38 CM,MÄ,DIA,24,0,,,,5,,,,,,,,2024-12-16,246.149792,246.149836,,,0,0,,1230.75,0.5,2023-01-17,529.99,599.99,0.116669,2.2,,,,,0
X0000013,VIERUNDZWANZIG,JA,4061929030185,212100000033,F006,Filippo,K2058,Framework Mobility GmbH,Bike,MTB,VILU,M000004359,greenishyellow/black,24,38 CM,KN,DIA,24,0,,,,3,,,,,,,,2024-12-16,246.149825,245.739459,,,0,0,,738.45,0.5,2022-02-14,529.99,599.99,0.116669,2.2,,,,,0
X0001800-1,PD-M540 SPD Pedale,JA,4524667904243,EPDM540L,T023,MC,K1173,Paul Lange GmbH & Co. KG,TZB,Pedale MTB Click,SHIMANO,M000046007,schwarz,NOS,OSZ,KA,,,0,,,,28,,,1,,,,,2024-10-21,39.6317,36.428053,,,0,0,,1150.11,,2020-06-05,62.99,91.95,0.314954,1.6,MC NOS-B MB=15 VE=20,62.99,62.99,Active,0
X0033196-1,PD-M520 SPD Pedale,JA,4524667060475,EPDM520L,T023,MC,K1173,Paul Lange GmbH & Co. KG,TZB,Pedale MTB Click,SHIMANO,M000063000,schwarz,NOS,OSZ,KA,,,0,,,,28,,,1,40,2026-04-15,20,28.12,2026-02-26,24.183,20.862607,,,0,0,,750.26,,2020-06-05,41.99,56.95,0.262687,1.7,MC-NOS-A MB=15 VE=20 73/100,41.99,41.99,Active,0
X0033196-2,PD-M520 SPD Pedale,JA,4524667060468,EPDM520S,T023,MC,K1173,Paul Lange GmbH & Co. KG,TZB,Pedale MTB Click,SHIMANO,M000063000,Silber,NOS,OSZ,KA,,,0,,,,9,,,,,,,,2022-08-23,23.46,21.662372,,,0,0,,211.14,,2020-06-05,41.99,56.95,0.262687,1.8,MC NOS-B MB=10 VE=20,41.99,41.99,Active,0
X0033199-1,Deore XT PD-T8000 SPD Trekking Pedale,JA,4524667749493,EPDT8000,T023,MC,K1173,Paul Lange GmbH & Co. KG,TZB,Pedale MTB Click,SHIMANO,M000010530,schwarz,24,OSZ,UN,,,0,,,,104,,,1,160,2026-04-15,80,72.56,2026-02-26,62.401625,53.995255,,,0,0,,6899.65,,2019-12-31,89.99,134.95,0.33316,1.4,MC-NOS-A MB=40 VE=20 87/100,89.99,89.99,Active,0
X0033200-1,PD-M324 SPD Pedale,JA,4524667072461,EPDM324,T023,MC,K1173,Paul Lange GmbH & Co. KG,TZB,Pedale MTB Click,SHIMANO,M000010532,Silber,NOS,OSZ,UN,,,0,2,,,30,15,,4,,,,,2026-01-15,40.1016,32.651405,54.03,-22.45,0,0,-0.41551,1542.95,0.0625,2020-06-05,54.99,84.95,0.352678,1.4,MC NOS-A MB=40 VE=18,54.99,54.99,Active,0
X0001923-1,"Rocket Ron 26x2,25 Performance ADDIX TwinSkin TLR",JA,4026495821582,07544158,T042,MC,K1127,Hermann Hartje KG,TZB,Reifen MTB,SCHWALBE,M000006338,black/black,26,57-559,UN,,,0,,,,15,,,,,,,,2025-04-25,14.6675,13.735789,,,0,0,,214.42,,2023-01-30,24.99,39.9,0.373684,1.7,MC-AUSLAUF,24.99,24.99,Active,0
X0006945-1,"Smart Sam 26x2,25 Performance ADDIX",JA,4026495820066,SB11101182.01,T042,MC,K1173,Paul Lange GmbH & Co. KG,TZB,Reifen MTB,SCHWALBE,M000103681,black-white stripes/black,25,57-559,UN,,,0,,,,23,,,,,,,,2026-03-06,10.8836,10.8668,,,0,0,,250.33,,2025-01-02,24.99,28.9,0.135294,2.3,MC-A-NOS,24.99,24.99,Active,0
X0004392-1,M70T4 Bremsschuhe für V-Brake,JA,4524667096542,Y8BM9803A,T072,MC,K1173,Paul Lange GmbH & Co. KG,TZB,Bremsbeläge,SHIMANO,M000010519,schwarz,24,OSZ,UN,,,0,,,,8,,,2,,,,,2026-03-30,2.902,2.787846,,,0,0,,29.02,,2024-05-31,8.95,8.95,0,3.1,MC-NOS-C MB=5 VE=10 8/100,8.95,8.95,Active,0
