Artikelnummer,Bezeichnung,Online_Status,EAN,Kred_Artikelnummer,Warengruppe,Hauptkategorie,PG_Beschreibung,Marke,Modellnummer,Farbe,Saison,Herstellergröße,Zielgruppe,Rahmentyp,Radgröße,Akkukapazität,Absatz_Variabel,Absatz_30T,Absatz_7T,Bestand_verfügbar,Reichweite_JAHRE,Reichweite_MONATE,In_Auftrag,Offen,Nächster_Bestellzugang,Nächste_EK_Menge,Nächster_EK_Preis,Letzter_Einkaufspreis_Datum,Letzter_Einkaufspreis_Wert,Avg_EK,Umsatz_Var,DB_Var,Netto_Umsatz_7_Tage,Netto_Umsatz_30_Tage,DB_Pct_Var,Lagerwert,Retourquote,Erster_Zugang,Preis_Online,UVP,Rabattsatz,Kalkulation,BEMERKUNG,MINPRICE,MAXPRICE
X0000012,VIERUNDZWANZIG,JA,4061929030215,212100000036,F006,Bike,MTB,VILU,M000103237,pink/white,24,38 CM,MÄ,DIA,24,0,35,3,1,4,0.114286,1.333333,0,0,,0,0,45642,246.149792,246.149836,11561.53,2946.29,445.369748,1336.109244,0.254836,984.6,0,44943,529.99,599.99,0.116669,2.2,,,
X0000013,VIERUNDZWANZIG,JA,4061929030185,212100000033,F006,Bike,MTB,VILU,M000004359,greenishyellow/black,24,38 CM,KN,DIA,24,0,38,2,1,0,0,0,2,0,,0,0,45642,246.149825,245.739459,12771.58,3417.88,445.369748,890.739496,0.267616,492.3,0,44606,529.99,599.99,0.116669,2.2,,,
X0000014,VIERUNDZWANZIG,JA,4061929030208,212100000035,F006,Bike,MTB,VILU,M000004359,Red/White,24,38 CM,KN,DIA,24,0,11,0,0,0,0,,0,0,,0,0,45642,246.149565,246.14973,2906.87,199.23,0,0,0.068538,0,0,44943,529.99,599.99,0.116669,2.2,,,
X0000015,VIERUNDZWANZIG,JA,4061929030192,212100000034,F006,Bike,MTB,VILU,M000004359,blue/black,24,38 CM,KN,DIA,24,0,28,0,0,0,0,,0,0,,0,0,45642,246.149737,246.692909,8485.96,1593.77,0,0,0.187813,0,0.023256,44943,529.99,599.99,0.116669,2.2,,,
X0001800-1,PD-M540 SPD Pedale,JA,4524667904243,EPDM540L,T023,TZB,Pedale MTB Click,SHIMANO,M000046007,schwarz,NOS,OSZ,KA,,,0,81,6,2,19,0.234568,3.166667,6,0,,0,0,45586,39.6317,36.428053,4548.52,1336.06,105.865546,317.596639,0.293735,991.47,0.058824,43987,62.99,91.95,0.314954,1.6,MC NOS-B MB=15 VE=20,62.99,62.99
X0033196-1,PD-M520 SPD Pedale,JA,4524667060475,EPDM520L,T023,TZB,Pedale MTB Click,SHIMANO,M000063000,schwarz,NOS,OSZ,KA,,,0,78,4,0,45,0.576923,11.25,2,20,2026-06-15,20,28.12,46127,24.183,21.604417,2646.02,681.05,0,141.142857,0.257387,1182.18,0.058158,43987,41.99,56.95,0.262687,1.7,MC-NOS-A MB=15 VE=20 73/100,41.99,41.99
X0033196-2,PD-M520 SPD Pedale,JA,4524667060468,EPDM520S,T023,TZB,Pedale MTB Click,SHIMANO,M000063000,Silber,NOS,OSZ,KA,,,0,36,0,0,9,0.25,,0,0,,0,0,44796,23.46,21.662372,1148.76,304.2,0,0,0.264807,211.14,0.056338,43987,41.99,56.95,0.262687,1.8,MC NOS-B MB=10 VE=20,41.99,41.99
X0033199-1,Deore XT PD-T8000 SPD Trekking Pedale,JA,4524667749493,EPDT8000,T023,TZB,Pedale MTB Click,SHIMANO,M000010530,schwarz,24,OSZ,UN,,,0,263,10,4,174,0.661597,17.4,6,80,2026-06-15,80,72.56,46127,62.401625,55.730441,19806.71,3195.64,302.487395,756.218487,0.161341,11572.91,0.036913,43830,89.99,134.95,0.33316,1.4,MC-NOS-A MB=40 VE=20 87/100,89.99,89.99
X0033200-1,PD-M324 SPD Pedale,JA,4524667072461,EPDM324,T023,TZB,Pedale MTB Click,SHIMANO,M000010532,Silber,NOS,OSZ,UN,,,0,261,6,2,29,0.111111,4.833333,1,0,,0,0,46037,40.1016,32.651405,9970.56,1383.73,92.420168,277.260504,0.138782,1345.15,0.06746,43987,54.99,84.95,0.352678,1.4,MC NOS-A MB=40 VE=18,54.99,54.99
X0001923-1,"Rocket Ron 26x2,25 Performance ADDIX TwinSkin TLR",JA,4026495821582,07544158,T042,TZB,Reifen MTB,SCHWALBE,M000006338,black/black,26,57-559,UN,,,0,10,0,0,15,1.5,,0,0,,0,0,45772,14.6675,13.735789,239.43,96.48,0,0,0.402957,214.42,0.08046,44956,24.99,39.9,0.373684,1.7,MC-AUSLAUF,24.99,24.99
